title,price,description
"
"
Куртка-парка S-cape Wms,6 700 грн6 030 грн,"['\n\r\n\tСтильна, жіноча куртка-парка від українського бренду S-Cape. Така річ дозволить почуватись комфортно під час зимових подорожей та щоденного використання у місті. Куртка виготовлена із водостійкої, мембранної тканини\xa010000/5000. За тепло відповідає якісний утеплювач\xa0Climashield Apex 167. Матеріал додатково оброблений водовідштовхуючим покриттям\xa0DuPont Teflon DWR. Парка\xa0укомплектована надійними блискавками YKK та фурнітурою європейських компаній.\n\r\n\tДля безпеки пересування у темну пору доби, кожна модель має світлорефлективні елементи. Трикотажні манжети додають зручності та додатково захищають від вітру. Є безліч кишень, куди можна помістити гаджети та особисті речі: 3 зовнішні кишені та 2 внутрішні. Лаконічний та функціональний дизайн відмінно вписується у тенденції моди, ви будете почуватись впевненим на вулицях свого міста. Ця чудова урбаністична куртка для прогулянок, подорожей та досліджень європейських міст.\n\nПризначення: щоденне використання у місті, зимові подорожі по Європі, прогулянки у парку, урбаністичні мандрівки.\n\nОсобливості:\r\n\t- стильна\r\n\t- із водостійкої, мембранної тканини\xa010000/5000\r\n\t- утеплювач\xa0Climashield Apex 167\r\n\t- з\xa0водовідштовхуючим покриттям\xa0DuPont Teflon DWR\r\n\t- надійні блискавки\xa0YKK\xa0та фурнітура європейських компаній\r\n\t- світловідбиваючі елементи\r\n\t- трикотажні манжети\r\n\t- багато кишень\r\n\t- капюшон\n\nТехнічні характеристики:\r\n\tМатеріал: мембранна водостійка тканина 10000/5000, 100% нейлон, водовідштовхуюче покриття DuPont Teflon DWR\r\n\tУтеплювач:\xa0Climashield Apex 167 Harvest Consumer Insulation, Inc. (США)\r\n\tПідкладка: 100% поліестер\r\n\tФурнітура: YKK\xa0AquaGuard\n\nРекомендації по догляду:\r\n\t- парку можна прати в пральній машині делікатним пранням з рідким пральним засобом\r\n\t- рекомендуємо застібати усі блискавки та кнопки перед пранням\r\n\t- не варто віддавати парку у хімчистку, це може пошкодити мембрану та знизити теплоізоляцію утеплювача\r\n\t- не можна сушити під прямим сонячним промінням, а також в сушильній машині\r\n\t- не рекомендуємо прасувати парку, оскільки це пошкодить утеплювач\n\n']"
Безрукавка Mountain Equipment Frostline Vest,4 178 грн,"['\n\nMountain Equipment Frostline Vest - легка і тепла пухова безрукавка для чоловіків. Жилетка допоможе уникнути зайвого дискомфорту під час подорожі, коли у куртці занадто жарко, а без — холодно. У якості утеплювача - натуральний пух.\n\r\n\tБезрукавка не лише зігріє, а й захистить від перегрівання, адже має високі повітропроникні властивості. Ідеальний варіант, коли потрібен утеплювач, але не хочеться носити об’ємні чи важкі речі. Безрукавка компактно складається, тому може бути завжди під рукою, не завдаючи дискомфорту. Завдяки натуральному наповнювачу буде приємнішою до тіла. Можна застосовувати як верхній шар одягу, так і як додаткове утеплення.\n\nПризначення:\xa0туризм, трекінг, альпінізм, скітур, відпочинок в холодну пору.\n\nОсобливості: \r\n\t- легка, компактно пакується\r\n\t- зовнішній матеріал Drilite Loft 20D повністю вітронепроникний і водостійкий\r\n\t- утеплювач — пух, оброблений водовідштовхувальним просоченням, що не містить екологічно шкідливих фторвуглеродів (PFC)\r\n\t- прострочені наскрізь пухові комірки (""холодний шов"")\r\n\t- передня блискавка YKK з утепленою внутрішньої планкою\r\n\t- 2 бічні кишені\r\n\t- плоскі шви\r\n\t- стяжки знизу безрукавки для регулювання та припасування\n\nТехнічні характеристики: \r\n\tВага: 240 г\r\n\tКількість кишень: 2\r\n\tМатеріал: Drilite Loft\xa020D (100 % Polyamide)\r\n\tУтеплювач: пух 700 FP, 71 г (для розміру L)\r\n\tБлискавка: YKK\n\r\n\t\xa0\n\n']"
Безрукавка Mountain Equipment Switch Wmns Vest,3 172 грн,"['\n\nMountain Equipment Switch Wmns Vest - легка і тепла гібридна безрукавка для жінок. Жилетка допоможе уникнути зайвого дискомфорту під час подорожі, коли у куртці занадто жарко, а без — холодно. Має ергономічний крій і плоскі шви, утеплена\xa0Polartec\xa0Alpha.\n\r\n\tКомпактна, тепла та легка безрукавка не лише зігріє, а й захистить від перегрівання, адже має високі повітропроникні властивості. Ідеальний варіант, коли потрібен утеплювач, але не хочеться носити об’ємні чи важкі речі. Безрукавка компактно складається, тому може бути завжди під рукою, не завдаючи дискомфорту.\n\nПризначення:\xa0туризм, трекінг, походи в гори, альпінізм, льодолазіння, скітур, беккантрі.\n\nОсобливості: \r\n\t- легка, компактно пакується у свою кишеню\r\n\t- зносостійка тканина\r\n\t- утеплювач\xa0Polartec\xa0Alpha\xa0і еластичний фліс\xa0Pontetorto Tecnostretch\r\n\t- крій Active fit — безрукавка облягає, не сковує рухи\r\n\t- передня блискавка YKK на всю довжину\r\n\t- дві бічні кишені на блискавках\r\n\t- плоскі шви\r\n\t- компактно пакується у бічну кишеню\n\nТехнічні характеристики: \r\n\tЗовнішня тканина: 20D RS Nylon (100% Polyamide, 49 г/м²)\r\n\tВнутрішня тканина: 100% Polyamide, 38 г/м²\r\n\tУтеплювач: Polartec Alpha (100% Polyester, вага 40 г)\r\n\tМатеріал на спині: фліс Pontetorto Tecnostretch 187 (92% Polyester, 8% Elastane, 187 г/м²)\r\n\tВага: 170 г\xa0\r\n\tБлискавки: YKK\n\nМатеріали і технології: \nPolartec Alpha\xa0– інноваційний утеплювач, створений за конструкцією «сендвіча»: з міцного зовнішнього шару, доопрацьованого утеплювача на основі Polartec Power Shield High Loft, і підкладки, що максимально добре вбирає вологу.\r\n\t\xa0\n\n']"
Куртка Mountain Equipment Arete Hooded Mns,5 496 грн,"['\n\r\n\tЛегка пухова куртка Mountain Equipment Arete Hooded пристосована до різних температурних змін. Підійде навіть для найскладніших гірських сходжень. Вона забезпечує винятковий рівень захисту від атмосферних явищ та відмінну теплоізоляцію, завдяки натуральному пуховому наповнювачу та водостійкому покриттю з PFC-Free обробкою. Зовнішня тканина Helium 20 виключно легка і вітронепроникна, забезпечить максимальний комфорт при сходженні.\n\nПризначення: туризм, гірські сходження, альпінізм, зимовий трекінг.\n\nОсобливості: \r\n\t- зовнішній матеріал Helium 20 з високою вітро- та водонепроникністю\r\n\t- качиний пух WR Down в якості утеплювача\r\n\t- PFC-Free водостійка пухова обробка\r\n\t- двостороння центральна блискавка YKK\r\n\t- еластичні манжети\r\n\t- дві кишені на блискавці для рук\r\n\t- капсульний капюшон з еластичним кантом\r\n\t- петлі для переноски карабіна в кишенях\n\nТехнічні характеристики: \r\n\tМатеріал: 100% Polyamide outer/inner, 20D-34g\r\n\tУтеплювач: WR Down 90/10 700 fill power (101g-12)\n\nМатеріали та технології: \nPFC-Free\xa0- одяг стійкий до проникнення вологи. У складі обробки немає фторвуглеводів, тому технологія є екологічно чистою.\nDown 700 – високоякісний натуральний утеплювач, який містить не менше 90% качиного пуху.\r\n\t\xa0\n\n']"
Куртка Mountain Equipment Arete Hooded Wms,5 359 грн,"['\n\r\n\tЖіноча пухова куртка Mountain Equipment Womens Arete Hooded - легка і дуже тепла, при цьому досить ефектна і підкреслює жіночу фігуру. Її крій та паралельна прошивка пухових блоків забезпечує тепло і комфорт, зберігаючи гарний дизайн жіночої моделі. Arete Hooded Jacket - ідеальна для міської зими в якості основного одягу або як проміжний утеплюючий шар в екстремальних походах.\n\r\n\tОсобливі якості тканини Helium 20 і утеплювача - високоякісного пуху WR Down 90/10 700 fill power по всій площині куртки (і в капюшоні в тому числі) роблять цю куртку універсальною для різної складності гірських сходжень та під час активних подорожей. Пух має спеціальне просочення, що захищає від вологи, а сама куртка може скручуватися в компактний згорток, не займаючи багато місця. Її вага – всього 320 г.\n\nПризначення: щоденне використання у місті, походи в гори, трекінг, хайкінг, подорожі.\n\nОсобливості: \r\n\t- зовнішній матеріал Helium 20 з високою вітро- та водонепроникністю\r\n\t- качиний пух WR Down в якості утеплювача\r\n\t- PFC-Free водостійка пухова обробка\r\n\t- капсульний капюшон з еластичним кантом\r\n\t- центральна блискавка з захисною планкою від холоду\r\n\t- еластичні манжети\r\n\t- кишені на блискавці для рук, утеплені підкладкою\r\n\t- низ курточки регулюється, знижуючи тепловтрати\n\nТехнічні характеристики: \r\n\tМатеріал: 100% Polyamide outer/inner, 20D-34g\r\n\tУтеплювач: WR Down 90/10 700 fill power (101g-12)\r\n\tВага: 320 г\n\nМатеріали та технології: \nPFC-Free — одяг стійкий до проникнення вологи. У складі обробки немає фторвуглеводів, тому технологія є екологічно чистою.\nDown 700 – високоякісний натуральний утеплювач, який містить не менше 90% качиного пуху.\r\n\t\xa0\n\n']"
Куртка Mountain Equipment Arete Mns,5 063 грн,"['\n\r\n\tЛегка пухова куртка Mountain Equipment Arete пристосована до різних температурних змін і тому підійде навіть для найскладніших гірських сходжень. Вона забезпечує винятковий рівень захисту від атмосферних явищ та відмінну теплоізоляцію, завдяки натуральному пуховому наповнювачу та водостійкому покриттю з PFC-Free обробкою. Зовнішня тканина Helium 20 виключно легка і вітронепроникна забезпечить максимальний комфорт при сходженні.\n\nПризначення:\xa0туризм, альпінізм, гірські сходження.\n\nОсобливості: \r\n\t- качиний пух Pure Down в якості утеплювача\r\n\t- зовнішній матеріал\xa0Helium 20\xa0з високою вітро- та водонепроникністю\r\n\t- PFC-Free водостійка пухова обробка\r\n\t- двостороння центральна блискавка YKK\r\n\t- регульовані еластичні манжети\r\n\t- дві кишені на блискавці для рук\r\n\t- петлі для переноски карабіна в кишенях\n\nТехнічні характеристики: \r\n\tМатеріал: Helium 20\r\n\tУтеплювач: Pure Down з мінімальним вмістом наповнення 90/10 700\n\nМатеріали та технології: \nPFC-Free — одяг стійкий до проникнення вологи. У складі обробки немає фторвуглеводів, тому технологія є екологічно чистою.\nPure Down 700 – високоякісний натуральний утеплювач, який містить не менше 90% качиного пуху.\r\n\t\xa0\n\n']"
Куртка Mountain Equipment Superflux,5 728 грн,"['\n\nMountain Equipment Superflux - утеплена чоловіча куртка для трекінгу та зимових пригод. Завдяки капюшону, теплим кишеням та синтетичному утеплювачу Polarloft Featherless\xa0куртка дуже добре зберігає тепло, навіть, в умовах високої вологості. Є дві кишені для рук на блискавках та еластичні манжети.\n\r\n\tВона добре дихає, чудово підходить як верхній шар одягу або ж як утеплювач під куртку, залежно від погоди. Куртка компактно пакується у власну кишеню, тож якщо вам потрібно мати в рюкзаку утеплювач, який ще й можна одягнути з шоломом чи каскою, ця модель буде вдалим вибором.\n\nПризначення:\xa0трекінг, зимові подорожі, альпінізм, походи у холодну погоду.\n\nОсобливості: \r\n\t- водо- та вітростійкий зовнішній матеріал Drilite Loft 20D\r\n\t- синтетичний утеплювач 226 г\xa0Polarloft\xa0Featherless зберігає тепло навіть у сиру та вологу погоду\r\n\t- 2 теплі бічні кишені та одна внутрішня – на блискавках\r\n\t- крій Active fit — куртка облягає, не сковує рухи\r\n\t- передня блискавка YKK із вбудованою планкою для захисту від вітру\r\n\t- еластичні манжети на рукавах та капюшоні\r\n\t- капюшон можна одягнути на шолом\r\n\t- компактно пакується у власну кишеню\n\nТехнічні характеристики: \r\n\tВага: 490 г\r\n\tКількість кишень: 3\r\n\tМатеріал: Drilite Loft 20D\r\n\tУтеплювач: Polarloft\xa0 Featherless\r\n\tБлискавка: YKK\r\n\t\xa0\n\n']"
Плащ-дощовик S-cape Dandelion Mns,3 300 грн2 970 грн,"['\n\r\n\tСтильний, чоловічий плащ-дощовик від українського бренду S-Cape, новинка весняно-літньої колекції. Фішка моделі 2021 року — елементи технологічного дизайну з додаванням контрастних графічних деталей.\xa0Така річ точно додасть яскравості у похмурий день. Виготовлений із мембранної тканини 10000г/м²/5000мм, яка має водонепроникні та вітрозахисні властивості і дозволяє тілу дихати. Матеріал додатково оброблений водовідштовхуючим покриттям DuPont Teflon DWR, для швів використана технологія герметизації. Дощовик укомплектований надійними блискавками YKK та фурнітурою європейських компаній Due Emme та Prym.\n\r\n\tДля безпеки пересування у темну пору доби, кожна модель має світлорефлективні елементи. Плащ згортається у компактну кишеньку-рюкзак, що зручно під час транспортування. Комфортний температурний режим плаща від +10 до +25°C. Для зберігання дрібних речей є чотири кишені (2 бічні, 1 нагрудна, 1 внутрішня). Глибина капюшону, об`єм талії та манжетів регулюються.\n\r\n\tЗавдяки універсальному дизайну та технологічним матеріалам плащ-дощовик підходить для міста та для подорожей. Одягнувши плащ у негоду, ти можеш як вирушати у мандри чи на прогулянку, так і просто вирішувати свої справи, бо у ньому затишно і зручно.\n\nПризначення: мандрівки, прогулянки містом, щоденне використання, хайкінг, трекінг а також подорожі у країни з вологим кліматом.\n\nОсобливості:\r\n\t- із мембранної тканини 10000г/м² / 5000мм\r\n\t- технологія герметизації для швів\r\n\t- надійні блискавки YKK\r\n\t- світлорефлективні елементи для безпеки пересування у темний період доби\r\n\t- згортається у компактну кишеньку-рюкзак\r\n\t- комфортний для температури від +10 до +25°C\r\n\t- чотири кишені (2 бічні, 1 нагрудна, 1 внутрішня)\r\n\t- глибина капюшону, об`єм талії та манжетів регулюються\n\nДогляд та прання:\nЯк доглядати за мембранною курткою?\nЗасоби для прання та догляду за курткою\n\nТехнічні характеристики:\r\n\tМатеріал: мембранна дихаюча тканина 10000/5000, 100% нейлон, водовідштовхуюче покриття DuPont Teflon DWR\r\n\tПідкладка: 100% поліестер\r\n\tФурнітура: YKK, Due Emme, Prym\r\n\tТемпературний режим: від +10 до +25°C\n\nРекомендації по догляду:\r\n\t- плащ можна прати в пральній машині делікатним пранням з рідким пральним засобом\r\n\t- рекомендуємо застібати усі блискавки та кнопки перед пранням\r\n\t- не варто віддавати плащ у хімчистку, це може пошкодити мембрану\r\n\t- не можна сушити під прямим сонячним промінням, а також в сушильній машині\r\n\t- не рекомендуємо прасувати плащ\r\n\t\xa0\n\n']"
Плащ-дощовик S-cape Dandelion Wms,3 300 грн2 970 грн,"['\n\r\n\tСтильний, жіночий плащ-дощовик від українського бренду S-Cape, новинка весняно-літньої колекції. Фішка моделі 2021 року — елементи технологічного дизайну з додаванням контрастних графічних деталей.\xa0Така річ точно додасть яскравості у похмурий день. Виготовлений із мембранної тканини 10000г/м²/5000мм, яка має водонепроникні та вітрозахисні властивості і дозволяє тілу дихати. Матеріал додатково оброблений водовідштовхуючим покриттям DuPont Teflon DWR, для швів використана технологія герметизації. Дощовик укомплектований надійними блискавками YKK та фурнітурою європейських компаній Due Emme та Prym.\n\r\n\tДля безпеки пересування у темну пору доби, кожна модель має світлорефлективні елементи. Плащ згортається у компактну кишеньку-рюкзак, що зручно під час транспортування. Комфортний температурний режим плаща від +10 до +25°C. Для зберігання дрібних речей є чотири кишені (2 бічні, 1 нагрудна, 1 внутрішня). Глибина капюшону, об`єм талії та манжетів регулюються.\n\r\n\tЗавдяки універсальному дизайну та технологічним матеріалам плащ-дощовик підходить для міста та для подорожей. Одягнувши плащ у негоду, ти можеш як вирушати у мандри чи на прогулянку, так і просто вирішувати свої справи, бо у ньому затишно і зручно.\n\nПризначення: мандрівки, прогулянки містом, щоденне використання, хайкінг, трекінг а також подорожі у країни з вологим кліматом.\n\nОсобливості:\r\n\t- із мембранної тканини 10000г/м² / 5000мм\r\n\t- технологія герметизації для швів\r\n\t- надійні блискавки YKK\r\n\t- світлорефлективні елементи для безпеки пересування у темний період доби\r\n\t- згортається у компактну кишеньку-рюкзак\r\n\t- комфортний для температури від +10 до +25°C\r\n\t- чотири кишені (2 бічні, 1 нагрудна, 1 внутрішня)\r\n\t- глибина капюшону, об`єм талії та манжетів регулюються\n\nДогляд та прання:\nЯк доглядати за мембранною курткою?\nЗасоби для прання та догляду за курткою\n\nТехнічні характеристики:\r\n\tМатеріал: мембранна дихаюча тканина 10000/5000, 100% нейлон, водовідштовхуюче покриття DuPont Teflon DWR\r\n\tПідкладка: 100% поліестер\r\n\tФурнітура: YKK, Due Emme, Prym\r\n\tТемпературний режим: від +10 до +25°C\n\nРекомендації по догляду:\r\n\t- плащ можна прати в пральній машині делікатним пранням з рідким пральним засобом\r\n\t- рекомендуємо застібати усі блискавки та кнопки перед пранням\r\n\t- не варто віддавати плащ у хімчистку, це може пошкодити мембрану\r\n\t- не можна сушити під прямим сонячним промінням, а також в сушильній машині\r\n\t- не рекомендуємо прасувати плащ\r\n\t\xa0\n\n']"
Куртка Montane Flux Jacket,6 569 грн,"[""\n\nFlux Jacket – дуже легка і тепла куртка, яка чудово замінить пуховий одяг при підвищеній вологості. В умовах високої фізичної активності може бути використана у якості верхнього одягу навіть при дуже низьких температурах. Завдяки легкій, щільній зовнішній тканині Pertex® Classic EСО і унікальному утеплювача Primaloft® Silver ЕСО, можна не боятися потрапити під дощ або сильний вітер.\n\nПризначення:  походи, прогулянки, висотний альпінізм, гірські лижі, фрірайд, місто.\n\nОсобливості:\r\n\t- подовжена спина\r\n\t- спеціальний анатомічний крій\r\n\t- центральна двозамкова блискавка YKK\r\n\t- вітрозахисна планка під блискавкою із захисна тканина в зоні підборіддя\r\n\t- манжети рукавів регулюються клапанами з липучкою Velcro\r\n\t- утеплений капюшон збільшеного обсягу під каску з 3-ма регулюваннями\r\n\t- дві теплі кишені на блискавці з м'якої тканини, в яких легко зігріти руки\r\n\t- упаковується у власну кишеню\r\n\t- світловідбивачі 3M Scotchlite\r\n\t- регульований низ куртки\n\nТехнічні характеристики:\r\n\tЗовнішній матеріал: Pertex® Classic Eco, 72 г/м2, 100% поліестер, 50D Rip-Stop\r\n\tВнутрішня тканина: PEAQ Synthetic 56 72 г/м2, 100% нейлон\r\n\tУтеплювач: Primaloft® Silver Eco\r\n\tФурнітура: YKK\r\n\tВага: 620 г (розмір М)\n\nМатеріали та технології:\nPrimaloft® Silver EСО  – високоякісний ультралегкий утеплювач, який забезпечує тепло в екстремальних умовах. Має чудові теплоізоляційні властивості, не злежується і гріє навіть коли намокає. Утеплювач  Primaloft® Silver EСО  не продувається, а також стійкий до умов вологої погоди. Вироби з цього матеріалу добре стискаються до дуже маленьких розмірів. На 70% складається з вдруге переробленого поліестру.\nPertex® Classic EСО – найкраща, ультралегка, пухоутримуюча тканина, створена по капілярному принципу, має чудові вологозахисні та дихаючі властивості, маленьку вагу і компактність, міцна і зносостійка.\n\n""]"
Плащ-дощовик S-cape Bossa Nova Mns,3 400 грн3 060 грн,"['\n\r\n\tСтильний, чоловічий плащ-дощовик від українського бренду S-Cape, новинка весняно-літньої колекції. Фішка моделі 2021 року — елементи технологічного дизайну з додаванням контрастних графічних деталей.\xa0Така річ точно додасть яскравості у похмурий день. Виготовлений із мембранної тканини 10000г/м²/5000мм, яка має водонепроникні та вітрозахисні властивості і дозволяє тілу дихати. Матеріал додатково оброблений водовідштовхуючим покриттям DuPont Teflon DWR, для швів використана технологія герметизації. Дощовик укомплектований надійними блискавками YKK та фурнітурою європейських компаній Due Emme та Prym.\n\r\n\tДля безпеки пересування у темну пору доби, кожна модель має світлорефлективні елементи. Плащ згортається у компактну кишеньку-рюкзак, що зручно під час транспортування. Комфортний температурний режим плаща від +10 до +25°C. Для зберігання дрібних речей є чотири кишені (2 бічні, 1 нагрудна, 1 внутрішня). Глибина капюшону, об`єм талії та манжетів регулюються.\n\r\n\tЗавдяки універсальному дизайну та технологічним матеріалам плащ-дощовик підходить для міста та для подорожей. Одягнувши плащ у негоду, ти можеш як вирушати у мандри чи на прогулянку, так і просто вирішувати свої справи, бо у ньому затишно і зручно.\n\nПризначення: мандрівки, прогулянки містом, щоденне використання, хайкінг, трекінг а також подорожі у країни з вологим кліматом.\n\nОсобливості:\r\n\t- із мембранної тканини 10000г/м² / 5000мм\r\n\t- технологія герметизації для швів\r\n\t- надійні блискавки YKK\r\n\t- світлорефлективні елементи для безпеки пересування у темний період доби\r\n\t- згортається у компактну кишеньку-рюкзак\r\n\t- комфортний для температури від +10 до +25°C\r\n\t- чотири кишені (2 бічні, 1 нагрудна, 1 внутрішня)\r\n\t- глибина капюшону, об`єм талії та манжетів регулюються\n\nДогляд та прання:\nЯк доглядати за мембранною курткою?\nЗасоби для прання та догляду за курткою\n\nТехнічні характеристики:\r\n\tМатеріал: мембранна дихаюча тканина 10000/5000, 100% нейлон, водовідштовхуюче покриття DuPont Teflon DWR\r\n\tПідкладка: 100% поліестер\r\n\tФурнітура: YKK, Due Emme, Prym\r\n\tТемпературний режим: від +10 до +25°C\n\nРекомендації по догляду:\r\n\t- плащ можна прати в пральній машині делікатним пранням з рідким пральним засобом\r\n\t- рекомендуємо застібати усі блискавки та кнопки перед пранням\r\n\t- не варто віддавати плащ у хімчистку, це може пошкодити мембрану\r\n\t- не можна сушити під прямим сонячним промінням, а також в сушильній машині\r\n\t- не рекомендуємо прасувати плащ\r\n\t\xa0\n\n']"
Плащ-дощовик S-cape Bossa Nova Wms,3 400 грн3 060 грн,"['\n\r\n\tСтильний, жіночий плащ-дощовик від українського бренду S-Cape, новинка весняно-літньої колекції. Фішка моделі 2021 року — елементи технологічного дизайну з додаванням контрастних графічних деталей.\xa0Така річ точно додасть яскравості у похмурий день. Виготовлений із мембранної тканини 10000г/м²/5000мм, яка має водонепроникні та вітрозахисні властивості і дозволяє тілу дихати. Матеріал додатково оброблений водовідштовхуючим покриттям DuPont Teflon DWR, для швів використана технологія герметизації. Дощовик укомплектований надійними блискавками YKK та фурнітурою європейських компаній Due Emme та Prym.\n\r\n\tДля безпеки пересування у темну пору доби, кожна модель має світлорефлективні елементи. Плащ згортається у компактну кишеньку-рюкзак, що зручно під час транспортування. Комфортний температурний режим плаща від +10 до +25°C. Для зберігання дрібних речей є чотири кишені (2 бічні, 1 нагрудна, 1 внутрішня). Глибина капюшону, об`єм талії та манжетів регулюються.\n\r\n\tЗавдяки універсальному дизайну та технологічним матеріалам плащ-дощовик підходить для міста та для подорожей. Одягнувши плащ у негоду, ти можеш як вирушати у мандри чи на прогулянку, так і просто вирішувати свої справи, бо у ньому затишно і зручно.\n\nПризначення: мандрівки, прогулянки містом, щоденне використання, хайкінг, трекінг а також подорожі у країни з вологим кліматом.\n\nОсобливості:\r\n\t- із мембранної тканини 10000г/м² / 5000мм\r\n\t- технологія герметизації для швів\r\n\t- надійні блискавки YKK\r\n\t- світлорефлективні елементи для безпеки пересування у темний період доби\r\n\t- згортається у компактну кишеньку-рюкзак\r\n\t- комфортний для температури від +10 до +25°C\r\n\t- чотири кишені (2 бічні, 1 нагрудна, 1 внутрішня)\r\n\t- глибина капюшону, об`єм талії та манжетів регулюються\n\nДогляд та прання:\nЯк доглядати за мембранною курткою?\nЗасоби для прання та догляду за курткою\n\nТехнічні характеристики:\r\n\tМатеріал: мембранна дихаюча тканина 10000/5000, 100% нейлон, водовідштовхуюче покриття DuPont Teflon DWR\r\n\tПідкладка: 100% поліестер\r\n\tФурнітура: YKK, Due Emme, Prym\r\n\tТемпературний режим: від +10 до +25°C\n\nРекомендації по догляду:\r\n\t- плащ можна прати в пральній машині делікатним пранням з рідким пральним засобом\r\n\t- рекомендуємо застібати усі блискавки та кнопки перед пранням\r\n\t- не варто віддавати плащ у хімчистку, це може пошкодити мембрану\r\n\t- не можна сушити під прямим сонячним промінням, а також в сушильній машині\r\n\t- не рекомендуємо прасувати плащ\r\n\t\xa0\n\n']"
Плащ-дощовик S-cape Moonless Night Mns,3 300 грн,"['\n\r\n\tСтильний, чоловічий плащ-дощовик від українського бренду S-Cape, новинка весняно-літньої колекції. Фішка моделі 2021 року — елементи технологічного дизайну з додаванням контрастних графічних деталей.\xa0Така річ точно додасть яскравості у похмурий день. Виготовлений із мембранної тканини 10000г/м²/5000мм, яка має водонепроникні та вітрозахисні властивості і дозволяє тілу дихати. Матеріал додатково оброблений водовідштовхуючим покриттям DuPont Teflon DWR, для швів використана технологія герметизації. Дощовик укомплектований надійними блискавками YKK та фурнітурою європейських компаній Due Emme та Prym.\n\r\n\tДля безпеки пересування у темну пору доби, кожна модель має світлорефлективні елементи. Плащ згортається у компактну кишеньку-рюкзак, що зручно під час транспортування. Комфортний температурний режим плаща від +10 до +25°C. Для зберігання дрібних речей є чотири кишені (2 бічні, 1 нагрудна, 1 внутрішня). Глибина капюшону, об`єм талії та манжетів регулюються.\n\r\n\tЗавдяки універсальному дизайну та технологічним матеріалам плащ-дощовик підходить для міста та для подорожей. Одягнувши плащ у негоду, ти можеш як вирушати у мандри чи на прогулянку, так і просто вирішувати свої справи, бо у ньому затишно і зручно.\n\nПризначення: мандрівки, прогулянки містом, щоденне використання, хайкінг, трекінг а також подорожі у країни з вологим кліматом.\n\nОсобливості:\r\n\t- із мембранної тканини 10000г/м² / 5000мм\r\n\t- технологія герметизації для швів\r\n\t- надійні блискавки YKK\r\n\t- світлорефлективні елементи для безпеки пересування у темний період доби\r\n\t- згортається у компактну кишеньку-рюкзак\r\n\t- комфортний для температури від +10 до +25°C\r\n\t- чотири кишені (2 бічні, 1 нагрудна, 1 внутрішня)\r\n\t- глибина капюшону, об`єм талії та манжетів регулюються\n\nДогляд та прання:\nЯк доглядати за мембранною курткою?\nЗасоби для прання та догляду за курткою\n\nТехнічні характеристики:\r\n\tМатеріал: мембранна дихаюча тканина 10000/5000, 100% нейлон, водовідштовхуюче покриття DuPont Teflon DWR\r\n\tПідкладка: 100% поліестер\r\n\tФурнітура: YKK, Due Emme, Prym\r\n\tТемпературний режим: від +10 до +25°C\n\nРекомендації по догляду:\r\n\t- плащ можна прати в пральній машині делікатним пранням з рідким пральним засобом\r\n\t- рекомендуємо застібати усі блискавки та кнопки перед пранням\r\n\t- не варто віддавати плащ у хімчистку, це може пошкодити мембрану\r\n\t- не можна сушити під прямим сонячним промінням, а також в сушильній машині\r\n\t- не рекомендуємо прасувати плащ\r\n\t\xa0\n\n']"
